feature,mean_selection_freq,selected_in_n_folds
114_CSTB,0.017333333333333333,0
SH2D1A,0.017333333333333333,0
CXCL5,0.016666666666666666,0
IFI30,0.016666666666666666,0
157_FAS,0.015333333333333334,0
194_PECAM-1,0.015333333333333334,0
CDH3,0.015333333333333332,0
144_CD84,0.014666666666666668,0
PVR,0.014666666666666668,0
CXCL11,0.014666666666666666,0
IL3RA,0.014666666666666666,0
192_CD4,0.014000000000000002,0
TNFSF14,0.014000000000000002,0
TNFRSF12A,0.014000000000000002,0
CXCL10,0.014,0
143_RETN,0.013333333333333332,0
DCTN1,0.013333333333333332,0
115_STK4,0.012666666666666666,0
CCL3,0.012666666666666666,0
IL-10RB,0.012000000000000004,0
CKAP4,0.012000000000000002,0
FKBP5,0.012,0
154_TM,0.011333333333333334,0
PDGF-R-alpha,0.011333333333333334,0
IL5,0.011333333333333332,0
150_DECR1,0.010666666666666668,0
130_Gal-9,0.010666666666666666,0
PRDX1,0.010666666666666666,0
MGMT,0.010666666666666666,0
JAM-B,0.010666666666666666,0
EIF4B,0.010000000000000002,0
CRADD,0.010000000000000002,0
IL33,0.01,0
173_PRSS8,0.009333333333333334,0
TBCB,0.009333333333333334,0
DDX58,0.009333333333333332,0
122_PLC,0.008666666666666666,0
CXADR,0.008666666666666666,0
CLEC7A,0.008666666666666666,0
187_TNFRSF13B,0.008666666666666665,0
117_Gal-3,0.008,0
SIT1,0.008,0
ITGA11,0.008,0
GGT5,0.008,0
CD83,0.007333333333333334,0
144_IGFBP-1,0.007333333333333333,0
175_HB-EGF,0.007333333333333333,0
UNC5C,0.007333333333333333,0
EGLN1,0.0073333333333333315,0
SH2B3,0.006666666666666667,0
CLEC4D,0.006666666666666667,0
LAT,0.006666666666666667,0
140_SPON2,0.006666666666666666,0
NAA10,0.006666666666666666,0
IRF9,0.006000000000000001,0
WWP2,0.006000000000000001,0
162_CEACAM8,0.006,0
gal-8,0.006,0
172_CASP-3,0.005333333333333333,0
ZBTB16,0.005333333333333333,0
IL13,0.005333333333333333,0
MAD1L1,0.005333333333333333,0
AARSD1,0.005333333333333333,0
RGMB,0.005333333333333333,0
111_ALCAM,0.004666666666666667,0
113_SELP,0.004666666666666667,0
PADI2,0.004666666666666667,0
CD6,0.004666666666666667,0
110_IL-4RA,0.004,0
169_ITGB1BP2,0.004,0
193_NEMO,0.004,0
AXIN1,0.004,0
ATP6V1F,0.004,0
FHIT,0.004,0
CLEC1B,0.004,0
SCARA5,0.004,0
167_JAM-A,0.0033333333333333335,0
IL-22 RA1,0.0033333333333333335,0
NRTN,0.0033333333333333335,0
ILKAP,0.0033333333333333335,0
CADM3,0.0033333333333333335,0
EFNA4,0.0033333333333333335,0
112_TFF3,0.0026666666666666666,0
171_CCL15,0.0026666666666666666,0
105_CD40-L,0.0026666666666666666,0
BIRC2,0.0026666666666666666,0
LIF-R,0.0026666666666666666,0
LIF,0.0026666666666666666,0
STAMPB,0.0026666666666666666,0
CETN2,0.0026666666666666666,0
102_ANG-1,0.002,0
161_SORT1,0.002,0
AKT1S1,0.002,0
LXN,0.002,0
GFR-alpha-1,0.002,0
129_LOX-1,0.0013333333333333333,0
TRIM5,0.0013333333333333333,0
LAP TGF-beta-1,0.0013333333333333333,0
IMPA1,0.0013333333333333333,0
PLXNB3,0.0013333333333333333,0
N2DL-2,0.0013333333333333333,0
117_TNFRSF11A,0.0006666666666666666,0
ABHD14B,0.0006666666666666666,0
PSIP1,0.0,0
IRAK1,0.0,0
PRDX5,0.0,0
DFFA,0.0,0
CD5,0.0,0
SRP14,0.0,0
EREG,0.0,0
LAYN,0.0,0
